Slice,PSNR,SSIM,MSE
Cirrus_TEST006_125.tiff,21.24,0.196,0.007515490986406803
Cirrus_TEST006_126.tiff,21.261,0.196,0.007479466497898102
Cirrus_TEST008_001.tiff,21.025,0.206,0.007897451519966125
Cirrus_TEST008_002.tiff,21.026,0.206,0.007895013317465782
Cirrus_TEST008_003.tiff,20.93,0.206,0.00807200651615858
Cirrus_TEST008_004.tiff,20.777,0.197,0.008361629210412502
Cirrus_TEST008_005.tiff,20.825,0.201,0.008269133046269417
Cirrus_TEST008_006.tiff,21.159,0.21,0.007657820824533701
Cirrus_TEST008_007.tiff,21.372,0.214,0.007291507441550493
Cirrus_TEST008_008.tiff,21.307,0.213,0.007401259616017342
Cirrus_TEST008_009.tiff,21.136,0.209,0.0076990192756056786
Cirrus_TEST008_010.tiff,20.9,0.199,0.008128453977406025
Cirrus_TEST008_011.tiff,20.937,0.202,0.008058950304985046
Cirrus_TEST008_012.tiff,20.936,0.204,0.00806162878870964
Cirrus_TEST008_013.tiff,20.818,0.2,0.008283566683530807
Cirrus_TEST008_014.tiff,20.955,0.2,0.008026226423680782
Cirrus_TEST008_015.tiff,20.987,0.201,0.007966903038322926
Cirrus_TEST008_016.tiff,20.866,0.198,0.008193044923245907
Cirrus_TEST008_017.tiff,20.706,0.196,0.008499070070683956
Cirrus_TEST008_018.tiff,20.917,0.201,0.008096324279904366
Cirrus_TEST008_019.tiff,20.923,0.202,0.008085189387202263
Cirrus_TEST008_020.tiff,21.042,0.207,0.00786743313074112
Cirrus_TEST008_021.tiff,21.26,0.215,0.007482260465621948
Cirrus_TEST008_022.tiff,21.23,0.209,0.007533225230872631
Cirrus_TEST008_023.tiff,21.171,0.208,0.0076371352188289165
Cirrus_TEST008_024.tiff,21.068,0.206,0.007819807156920433
Cirrus_TEST008_025.tiff,20.987,0.203,0.007966659031808376
Cirrus_TEST008_026.tiff,21.007,0.201,0.0079313600435853
Cirrus_TEST008_027.tiff,21.111,0.203,0.007743639871478081
Cirrus_TEST008_028.tiff,21.235,0.209,0.007525162771344185
Cirrus_TEST008_029.tiff,21.372,0.211,0.007290778681635857
Cirrus_TEST008_030.tiff,21.282,0.211,0.007443245034664869
Cirrus_TEST008_031.tiff,21.066,0.209,0.007823038846254349
Cirrus_TEST008_032.tiff,21.032,0.205,0.007884579710662365
Cirrus_TEST008_033.tiff,20.862,0.206,0.008199593052268028
Cirrus_TEST008_034.tiff,20.61,0.195,0.00869021750986576
Cirrus_TEST008_035.tiff,20.659,0.192,0.008592315949499607
Cirrus_TEST008_036.tiff,20.82,0.197,0.008278735913336277
Cirrus_TEST008_037.tiff,20.964,0.198,0.008009172976016998
Cirrus_TEST008_038.tiff,21.113,0.207,0.007739295717328787
Cirrus_TEST008_039.tiff,21.21,0.21,0.007567751221358776
Cirrus_TEST008_040.tiff,20.964,0.201,0.008009335957467556
Cirrus_TEST008_041.tiff,21.015,0.202,0.007916740141808987
Cirrus_TEST008_042.tiff,21.102,0.21,0.007758333347737789
Cirrus_TEST008_043.tiff,21.355,0.22,0.0073200068436563015
Cirrus_TEST008_044.tiff,21.371,0.213,0.00729249557480216
Cirrus_TEST008_045.tiff,21.301,0.209,0.007410968188196421
Cirrus_TEST008_046.tiff,21.413,0.209,0.007222210988402367
Cirrus_TEST008_047.tiff,21.565,0.224,0.006974447052925825
Cirrus_TEST008_048.tiff,21.437,0.216,0.007183605805039406
Cirrus_TEST008_049.tiff,21.34,0.214,0.007345207501202822
Cirrus_TEST008_050.tiff,21.278,0.206,0.007450048811733723
Cirrus_TEST008_051.tiff,21.144,0.202,0.0076842461712658405
Cirrus_TEST008_052.tiff,21.086,0.205,0.007788326125591993
Cirrus_TEST008_053.tiff,21.113,0.205,0.007738698739558458
Cirrus_TEST008_054.tiff,21.282,0.209,0.00744334701448679
Cirrus_TEST008_055.tiff,21.281,0.208,0.007446350529789925
Cirrus_TEST008_056.tiff,21.046,0.201,0.007859932258725166
