Slice,PSNR,SSIM
Cirrus_TEST008_071.tiff,19.691,0.135
Cirrus_TEST008_072.tiff,19.587,0.136
Cirrus_TEST008_073.tiff,19.683,0.136
Cirrus_TEST008_074.tiff,19.652,0.139
Cirrus_TEST008_075.tiff,19.757,0.139
Cirrus_TEST008_076.tiff,19.743,0.136
Cirrus_TEST008_077.tiff,19.702,0.141
Cirrus_TEST008_078.tiff,19.501,0.134
Cirrus_TEST008_079.tiff,19.628,0.137
Cirrus_TEST008_080.tiff,19.57,0.14
Cirrus_TEST008_081.tiff,19.587,0.135
Cirrus_TEST008_082.tiff,19.591,0.14
Cirrus_TEST008_083.tiff,19.704,0.141
Cirrus_TEST008_084.tiff,19.602,0.139
Cirrus_TEST008_085.tiff,19.452,0.137
Cirrus_TEST008_086.tiff,19.349,0.137
Cirrus_TEST008_087.tiff,19.397,0.135
Cirrus_TEST008_088.tiff,19.474,0.133
Cirrus_TEST008_089.tiff,19.397,0.132
Cirrus_TEST008_090.tiff,19.542,0.136
Cirrus_TEST008_091.tiff,19.525,0.141
Cirrus_TEST008_092.tiff,19.382,0.136
Cirrus_TEST008_093.tiff,19.482,0.139
Cirrus_TEST008_094.tiff,19.437,0.138
Cirrus_TEST008_095.tiff,19.513,0.139
Cirrus_TEST008_096.tiff,19.578,0.142
Cirrus_TEST008_097.tiff,19.562,0.141
Cirrus_TEST008_098.tiff,19.48,0.135
Cirrus_TEST008_099.tiff,19.557,0.134
Cirrus_TEST008_100.tiff,19.579,0.138
Cirrus_TEST008_101.tiff,19.605,0.136
Cirrus_TEST008_102.tiff,19.586,0.142
Cirrus_TEST008_103.tiff,19.69,0.141
Cirrus_TEST008_104.tiff,19.729,0.145
Cirrus_TEST008_105.tiff,19.826,0.148
Cirrus_TEST008_106.tiff,19.665,0.146
Cirrus_TEST008_107.tiff,19.737,0.146
Cirrus_TEST008_108.tiff,19.563,0.142
Cirrus_TEST008_109.tiff,19.645,0.149
Cirrus_TEST008_110.tiff,19.598,0.138
Cirrus_TEST008_111.tiff,19.631,0.139
Cirrus_TEST008_112.tiff,19.681,0.145
Cirrus_TEST008_113.tiff,19.669,0.142
Cirrus_TEST008_114.tiff,19.729,0.143
Cirrus_TEST008_115.tiff,19.537,0.137
Cirrus_TEST008_116.tiff,19.694,0.143
Cirrus_TEST008_117.tiff,19.692,0.141
Cirrus_TEST008_118.tiff,19.681,0.142
Cirrus_TEST008_119.tiff,19.628,0.141
