slice,dice_class_0,dice_class_1,dice_class_2,dice_class_3,dice_class_4,voxels_class_0,voxels_class_1,voxels_class_2,voxels_class_3,voxels_class_4,total_dice
Cirrus_TRAIN019_066.tiff,0.9928317666053772,0.47415468096733093,6.711409206161534e-09,6.180469469541094e-10,1.0,129125.0,1947.0,0.0,0.0,0.0,0.981048583984375
Cirrus_TRAIN019_067.tiff,0.9865291118621826,0.42562276124954224,5.042864459348095e-10,1.724137943526216e-09,1.0,129148.0,1924.0,0.0,0.0,0.0,0.967864990234375
Cirrus_TRAIN019_068.tiff,0.9487522840499878,0.26237842440605164,1.453699660647345e-10,2.68817212933925e-09,1.0,129071.0,2001.0,0.0,0.0,0.0,0.8988189697265625
Cirrus_TRAIN019_069.tiff,0.9606299996376038,0.38848578929901123,2.026342427186023e-10,1.0834235730783348e-09,1.0,128636.0,2436.0,0.0,0.0,0.0,0.9208145141601562
Cirrus_TRAIN019_070.tiff,0.9913845062255859,0.7257722020149231,1.5082955995282532e-09,6.506180594278987e-10,1.0,128565.0,2507.0,0.0,0.0,0.0,0.9787673950195312
Cirrus_TRAIN019_071.tiff,0.9915079474449158,0.6047490239143372,1.225490153800024e-09,1.424501405722367e-09,1.0,129321.0,1751.0,0.0,0.0,0.0,0.9808578491210938
Cirrus_TRAIN019_072.tiff,0.9942622780799866,0.5773913264274597,1.6666666935449825e-09,1.0504201952699077e-09,1.0,129589.0,1483.0,0.0,0.0,0.0,0.9847183227539062
Cirrus_TRAIN019_073.tiff,0.9971308708190918,0.6748140454292297,4.7169810279967805e-09,2.5000000292152436e-08,1.0,130007.0,1065.0,0.0,0.0,0.0,0.9938583374023438
Cirrus_TRAIN019_074.tiff,0.9883138537406921,0.1182033121585846,6.849314893031533e-09,4.887585336454947e-10,1.0,129929.0,1143.0,0.0,0.0,0.0,0.9758377075195312
Cirrus_TRAIN019_075.tiff,0.9923759698867798,0.15449735522270203,9.523809296752006e-09,7.95544963239081e-10,1.0,130208.0,864.0,0.0,0.0,0.0,0.9841995239257812
Cirrus_TRAIN019_076.tiff,0.9876949191093445,0.12241993099451065,9.090909358633326e-09,4.909180284506931e-10,1.0,129899.0,1173.0,0.0,0.0,0.0,0.9749679565429688
Cirrus_TRAIN019_077.tiff,0.9886851906776428,0.583156406879425,1.2820512651501303e-08,4.154549204660185e-10,1.0,130209.0,863.0,0.0,0.0,0.0,0.9771270751953125
Cirrus_TRAIN019_078.tiff,0.9915816783905029,0.5259298086166382,1.0111222970010658e-09,1.555209960812931e-09,1.0,130268.0,804.0,0.0,0.0,0.0,0.9820175170898438
Cirrus_TRAIN019_079.tiff,0.991145670413971,1.4084506894107562e-09,5.050504903181263e-09,5.875440689528943e-10,1.0,130362.0,710.0,0.0,0.0,0.0,0.9812774658203125
Cirrus_TRAIN019_080.tiff,0.9862011075019836,1.5723270463396943e-09,2.4390244490746227e-08,3.369272361108955e-10,1.0,130436.0,636.0,0.0,0.0,0.0,0.9724884033203125
Cirrus_TRAIN019_081.tiff,0.9933167695999146,0.08879492431879044,1.9999995970465534e-07,7.621951403358196e-10,1.0,130620.0,452.0,0.0,0.0,0.0,0.9866943359375
Cirrus_TRAIN019_082.tiff,0.9901108145713806,5.586592077833075e-09,1.0,4.1876047074396183e-10,1.0,130917.0,155.0,0.0,0.0,0.0,0.9804153442382812
Cirrus_TRAIN019_083.tiff,0.9925636649131775,4.219409266426055e-09,1.0,5.889281284865433e-10,1.0,130954.0,118.0,0.0,0.0,0.0,0.9852371215820312
Cirrus_TRAIN019_084.tiff,0.9695435166358948,6.249999962015806e-10,1.692620210658191e-10,4.166666567329003e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.940887451171875
Cirrus_TRAIN019_085.tiff,0.9779283404350281,5.205622044535119e-10,3.9077766023076776e-10,8.467400669509573e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9568099975585938
Cirrus_TRAIN019_086.tiff,0.9935113191604614,1.6666663782416435e-07,1.0,5.938242120251402e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.9871063232421875
Cirrus_TRAIN019_087.tiff,0.9920949935913086,1.8148820224439532e-09,8.920606475726345e-10,2.604166660091778e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.98431396484375
Cirrus_TRAIN019_088.tiff,0.9963013529777527,2.0408164047580613e-08,8.333332601750953e-08,1.1049723358524943e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.9926300048828125
Cirrus_TRAIN019_089.tiff,0.9952318668365479,6.66666677417993e-09,2.1551724849189213e-09,1.587301623473536e-09,1.0,131072.0,0.0,0.0,0.0,0.0,0.990509033203125
Cirrus_TRAIN019_090.tiff,0.9560507535934448,3.598416564720708e-10,1.8076644348052895e-10,3.669724801813601e-10,1.0,131072.0,0.0,0.0,0.0,0.0,0.915802001953125
