slice,dice_Background,dice_IRF,voxels_Background,voxels_IRF,union_Background,union_IRF,intersection_Background,intersection_IRF,binary_dice
Spectralis_TRAIN043_026.tiff,0.9864597916603088,0.25731250643730164,252767,1185,498810,9094,246028,1170,0.25731250643730164
Spectralis_TRAIN043_027.tiff,0.9824498295783997,0.40600988268852234,250608,3344,493328,14576,242335,2959,0.40600988268852234
Spectralis_TRAIN043_028.tiff,0.9838855862617493,0.3807157874107361,250957,2995,495023,12881,243523,2452,0.3807157874107361
Spectralis_TRAIN043_029.tiff,0.9904201626777649,0.5641307234764099,250585,3367,496981,10923,246110,3081,0.5641307234764099
Spectralis_TRAIN043_030.tiff,0.9927482604980469,0.5403143763542175,250913,3039,500016,7888,248195,2131,0.5403143763542175
Spectralis_TRAIN043_031.tiff,0.9929094314575195,0.3738350570201874,252799,1153,502217,5687,249328,1063,0.3738350570201874
Spectralis_TRAIN043_032.tiff,0.9953047633171082,0.335950642824173,253309,643,504338,3566,250985,599,0.335950642824173
Spectralis_TRAIN043_033.tiff,0.9961022138595581,0.0,253952,0,505932,1972,251980,0,0.0
Spectralis_TRAIN043_034.tiff,0.9990836381912231,0.0,253952,0,507439,465,253487,0,0.0
Spectralis_TRAIN043_035.tiff,0.999525249004364,0.0,253952,0,507663,241,253711,0,0.0
Spectralis_TRAIN043_036.tiff,0.9980311989784241,0.0,253952,0,506906,998,252954,0,0.0
Spectralis_TRAIN043_037.tiff,0.9981853365898132,0.0,253952,0,506984,920,253032,0,0.0
Spectralis_TRAIN043_038.tiff,0.9972062706947327,0.0,253952,0,506489,1415,252537,0,0.0
Spectralis_TRAIN043_039.tiff,0.9992808699607849,0.0,253952,0,507539,365,253587,0,0.0
Spectralis_TRAIN043_040.tiff,0.9995134472846985,0.0,253952,0,507657,247,253705,0,0.0
Spectralis_TRAIN043_041.tiff,0.9991625547409058,0.0,253952,0,507479,425,253527,0,0.0
Spectralis_TRAIN043_042.tiff,0.9995390772819519,0.0,253952,0,507670,234,253718,0,0.0
Spectralis_TRAIN043_043.tiff,0.9991270303726196,0.0,253952,0,507461,443,253509,0,0.0
Spectralis_TRAIN043_044.tiff,0.9999862313270569,0.0,253952,0,507897,7,253945,0,0.0
Spectralis_TRAIN043_045.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Spectralis_TRAIN043_046.tiff,0.9999881982803345,0.0,253952,0,507898,6,253946,0,0.0
Spectralis_TRAIN043_047.tiff,0.9998601675033569,0.0,253952,0,507833,71,253881,0,0.0
Spectralis_TRAIN043_048.tiff,0.9998562335968018,0.0,253952,0,507831,73,253879,0,0.0
Spectralis_TRAIN044_000.tiff,0.9963541626930237,0.0,253952,0,506059,1845,252107,0,0.0
Spectralis_TRAIN044_001.tiff,0.9893704652786255,0.0,253952,0,502562,5342,248610,0,0.0
Spectralis_TRAIN044_002.tiff,0.9930630922317505,0.0,253952,0,504405,3499,250453,0,0.0
Spectralis_TRAIN044_003.tiff,0.9876017570495605,0.0,253952,0,501684,6220,247732,0,0.0
Spectralis_TRAIN044_004.tiff,0.9911763072013855,0.1950245201587677,253269,683,502397,5507,248982,537,0.1950245201587677
Spectralis_TRAIN044_005.tiff,0.9959002137184143,0.5615302920341492,252631,1321,503199,4705,250568,1321,0.5615302920341492
Spectralis_TRAIN044_006.tiff,0.9934784770011902,0.5771324634552002,251704,2248,500190,7714,248464,2226,0.5771324634552002
Spectralis_TRAIN044_007.tiff,0.9951337575912476,0.7520965337753296,250029,3923,498126,9778,247851,3677,0.7520965337753296
Spectralis_TRAIN044_008.tiff,0.9920902848243713,0.681559681892395,249409,4543,495594,12310,245837,4195,0.681559681892395
Spectralis_TRAIN044_009.tiff,0.9915065765380859,0.7241447567939758,248154,5798,492733,15171,244274,5493,0.7241447567939758
Spectralis_TRAIN044_010.tiff,0.9910739660263062,0.7401434779167175,246418,7534,491037,16867,243327,6242,0.7401434779167175
Spectralis_TRAIN044_011.tiff,0.9874069690704346,0.7109916806221008,245213,8739,486697,21207,240284,7539,0.7109916806221008
Spectralis_TRAIN044_012.tiff,0.9862136840820312,0.7025249004364014,245171,8781,485408,22496,239358,7902,0.7025249004364014
Spectralis_TRAIN044_013.tiff,0.9824030995368958,0.6760918498039246,241551,12401,481733,26171,236628,8847,0.6760918498039246
Spectralis_TRAIN044_014.tiff,0.9822334051132202,0.6116037368774414,244806,9146,485687,22217,238529,6794,0.6116037368774414
Spectralis_TRAIN044_015.tiff,0.9839211106300354,0.7131995558738708,242643,11309,480941,26963,236604,9615,0.7131995558738708
Spectralis_TRAIN044_016.tiff,0.9821540117263794,0.6904349327087402,242503,11449,480220,27684,235825,9557,0.6904349327087402
Spectralis_TRAIN044_017.tiff,0.9771937131881714,0.5730703473091125,244943,9009,482148,25756,235576,7380,0.5730703473091125
Spectralis_TRAIN044_018.tiff,0.9828687906265259,0.6407405734062195,244645,9307,484787,23117,238241,7406,0.6407405734062195
Spectralis_TRAIN044_019.tiff,0.9826889634132385,0.6074308753013611,245691,8261,486453,21451,239016,6515,0.6074308753013611
Spectralis_TRAIN044_020.tiff,0.9864978194236755,0.6515359282493591,246594,7358,488958,18946,241178,6172,0.6515359282493591
Spectralis_TRAIN044_021.tiff,0.9853153824806213,0.6560230851173401,246821,7131,487109,20795,239978,6821,0.6560230851173401
Spectralis_TRAIN044_022.tiff,0.9894874691963196,0.6975380778312683,247929,6023,490844,17060,242842,5950,0.6975380778312683
Spectralis_TRAIN044_023.tiff,0.9896283745765686,0.7209800481796265,246619,7333,489701,18203,242311,6562,0.7209800481796265
Spectralis_TRAIN044_024.tiff,0.9929250478744507,0.8010549545288086,246367,7585,490462,17442,243496,6986,0.8010549545288086
Spectralis_TRAIN044_025.tiff,0.9934253692626953,0.7831671833992004,246965,6987,492957,14947,244858,5853,0.7831671833992004
Spectralis_TRAIN044_026.tiff,0.9956350922584534,0.869865894317627,246220,7732,491421,16483,244638,7169,0.869865894317627
Spectralis_TRAIN044_027.tiff,0.9905850887298584,0.7396332621574402,247194,6758,490179,17725,242782,6555,0.7396332621574402
Spectralis_TRAIN044_028.tiff,0.9912803769111633,0.6966387033462524,248835,5117,493713,14191,244704,4943,0.6966387033462524
Spectralis_TRAIN044_029.tiff,0.9932336211204529,0.7384447455406189,248897,5055,495096,12808,245873,4729,0.7384447455406189
Spectralis_TRAIN044_030.tiff,0.994556188583374,0.677729070186615,250847,3105,499467,8437,248374,2859,0.677729070186615
Spectralis_TRAIN044_031.tiff,0.9949373602867126,0.1569920778274536,253578,374,504872,3032,251158,238,0.1569920778274536
Spectralis_TRAIN044_032.tiff,0.9947352409362793,0.0,253952,0,505244,2660,251292,0,0.0
Spectralis_TRAIN044_033.tiff,0.9986751675605774,0.0,253952,0,507232,672,253280,0,0.0
Spectralis_TRAIN044_034.tiff,0.9992079138755798,0.0,253952,0,507502,402,253550,0,0.0
Spectralis_TRAIN044_035.tiff,0.9977543950080872,0.0,253952,0,506766,1138,252814,0,0.0
Spectralis_TRAIN044_036.tiff,0.9983533024787903,0.0,253952,0,507069,835,253117,0,0.0
Spectralis_TRAIN044_037.tiff,0.9971151947975159,0.0,253952,0,506443,1461,252491,0,0.0
Spectralis_TRAIN044_038.tiff,0.9992473125457764,0.0,253952,0,507522,382,253570,0,0.0
Spectralis_TRAIN044_039.tiff,0.9992808699607849,0.0,253952,0,507539,365,253587,0,0.0
Spectralis_TRAIN044_040.tiff,0.9971805214881897,0.0,253952,0,506476,1428,252524,0,0.0
Spectralis_TRAIN044_041.tiff,0.9982209205627441,0.0,253952,0,507002,902,253050,0,0.0
Spectralis_TRAIN044_042.tiff,0.9910789132118225,0.0,253952,0,503413,4491,249461,0,0.0
Spectralis_TRAIN044_043.tiff,0.996711015701294,0.0,253952,0,506239,1665,252287,0,0.0
Spectralis_TRAIN044_044.tiff,0.9976080060005188,0.0,253952,0,506692,1212,252740,0,0.0
Spectralis_TRAIN044_045.tiff,0.998627781867981,0.0,253952,0,507208,696,253256,0,0.0
Spectralis_TRAIN044_046.tiff,0.997346818447113,0.0,253952,0,506560,1344,252608,0,0.0
Spectralis_TRAIN044_047.tiff,0.9993261694908142,0.0,253952,0,507562,342,253610,0,0.0
Spectralis_TRAIN044_048.tiff,0.9993951916694641,0.0,253952,0,507597,307,253645,0,0.0
Topcon_TRAIN054_000.tiff,0.9999960660934448,0.0,253952,0,507902,2,253950,0,0.0
Topcon_TRAIN054_001.tiff,0.9999527335166931,0.0,253952,0,507880,24,253928,0,0.0
Topcon_TRAIN054_002.tiff,0.9999940991401672,0.0,253952,0,507901,3,253949,0,0.0
Topcon_TRAIN054_003.tiff,0.9999921321868896,0.0,253952,0,507900,4,253948,0,0.0
Topcon_TRAIN054_004.tiff,0.9999547004699707,0.0,253952,0,507881,23,253929,0,0.0
Topcon_TRAIN054_005.tiff,0.9999684691429138,0.0,253952,0,507888,16,253936,0,0.0
Topcon_TRAIN054_006.tiff,0.9999960660934448,0.0,253952,0,507902,2,253950,0,0.0
Topcon_TRAIN054_007.tiff,0.9999744296073914,0.0,253952,0,507891,13,253939,0,0.0
Topcon_TRAIN054_008.tiff,0.99993896484375,0.0,253952,0,507873,31,253921,0,0.0
Topcon_TRAIN054_009.tiff,0.9999074339866638,0.0,253952,0,507857,47,253905,0,0.0
Topcon_TRAIN054_010.tiff,0.9999586343765259,0.0,253952,0,507883,21,253931,0,0.0
Topcon_TRAIN054_011.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_012.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_013.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_014.tiff,0.9999547004699707,0.0,253952,0,507881,23,253929,0,0.0
Topcon_TRAIN054_015.tiff,0.9997735023498535,0.0,253952,0,507789,115,253837,0,0.0
Topcon_TRAIN054_016.tiff,0.9997676014900208,0.0,253952,0,507786,118,253834,0,0.0
Topcon_TRAIN054_017.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_018.tiff,0.99934983253479,0.0,253952,0,507574,330,253622,0,0.0
Topcon_TRAIN054_019.tiff,0.9999881982803345,0.0,253952,0,507898,6,253946,0,0.0
Topcon_TRAIN054_020.tiff,0.9999330639839172,0.0,253952,0,507870,34,253918,0,0.0
Topcon_TRAIN054_021.tiff,0.9999960660934448,0.0,253952,0,507902,2,253950,0,0.0
Topcon_TRAIN054_022.tiff,0.9999507665634155,0.0,253952,0,507879,25,253927,0,0.0
Topcon_TRAIN054_023.tiff,0.9999881982803345,0.0,253952,0,507898,6,253946,0,0.0
Topcon_TRAIN054_024.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_025.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_026.tiff,0.9999133348464966,0.0,253952,0,507860,44,253908,0,0.0
Topcon_TRAIN054_027.tiff,0.9999842643737793,0.0,253952,0,507896,8,253944,0,0.0
Topcon_TRAIN054_028.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Topcon_TRAIN054_029.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_030.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Topcon_TRAIN054_031.tiff,0.9997045993804932,0.0,253952,0,507754,150,253802,0,0.0
Topcon_TRAIN054_032.tiff,0.9985902905464172,0.0,253952,0,507189,715,253237,0,0.0
Topcon_TRAIN054_033.tiff,0.9988429546356201,0.0,253952,0,507317,587,253365,0,0.0
Topcon_TRAIN054_034.tiff,0.9986184239387512,0.4327390491962433,253512,440,506670,1234,252985,267,0.4327390491962433
Topcon_TRAIN054_035.tiff,0.9970874786376953,0.0,253952,0,506429,1475,252477,0,0.0
Topcon_TRAIN054_036.tiff,0.9966753721237183,0.0,253952,0,506221,1683,252269,0,0.0
Topcon_TRAIN054_037.tiff,0.9980608224868774,0.0,253952,0,506921,983,252969,0,0.0
Topcon_TRAIN054_038.tiff,0.9958023428916931,0.36548832058906555,253326,626,504566,3338,251224,610,0.36548832058906555
Topcon_TRAIN054_039.tiff,0.9947800636291504,0.24534250795841217,253524,428,504415,3489,250891,428,0.24534250795841217
Topcon_TRAIN054_040.tiff,0.9938787221908569,0.274417519569397,253369,583,503655,4249,250286,583,0.274417519569397
Topcon_TRAIN054_041.tiff,0.993218719959259,0.4261631965637207,252636,1316,501972,5932,249284,1264,0.4261631965637207
Topcon_TRAIN054_042.tiff,0.9938340783119202,0.5315957069396973,252072,1880,501305,6599,249107,1754,0.5315957069396973
Topcon_TRAIN054_043.tiff,0.9925020933151245,0.4606547951698303,252321,1631,500940,6964,248592,1604,0.4606547951698303
Topcon_TRAIN054_044.tiff,0.9917900562286377,0.5181006193161011,251726,2226,499396,8508,247648,2204,0.5181006193161011
Topcon_TRAIN054_045.tiff,0.9925012588500977,0.5852090120315552,251094,2858,498885,9019,247572,2639,0.5852090120315552
Topcon_TRAIN054_046.tiff,0.9904426336288452,0.35824501514434814,252609,1343,500451,7453,247834,1335,0.35824501514434814
Topcon_TRAIN054_047.tiff,0.9873256087303162,0.31151291728019714,252504,1448,498723,9181,246201,1430,0.31151291728019714
Topcon_TRAIN054_048.tiff,0.9875113368034363,0.49485883116722107,250894,3058,495650,12254,244730,3032,0.49485883116722107
Topcon_TRAIN054_049.tiff,0.9878615140914917,0.5478234887123108,250003,3949,494626,13278,244311,3637,0.5478234887123108
Topcon_TRAIN054_050.tiff,0.9881178736686707,0.5172922611236572,250703,3249,495702,12202,244906,3156,0.5172922611236572
Topcon_TRAIN054_051.tiff,0.9889249205589294,0.6468988656997681,248525,5427,492458,15446,243502,4996,0.6468988656997681
Topcon_TRAIN054_052.tiff,0.9861330389976501,0.5182943940162659,250135,3817,493692,14212,243423,3683,0.5182943940162659
Topcon_TRAIN054_053.tiff,0.9874013662338257,0.5742275714874268,248914,5038,493307,14597,243546,4191,0.5742275714874268
Topcon_TRAIN054_054.tiff,0.9892433881759644,0.5700225830078125,249841,4111,495508,12396,245089,3533,0.5700225830078125
Topcon_TRAIN054_055.tiff,0.9876647591590881,0.5735098123550415,249506,4446,493627,14277,243769,4094,0.5735098123550415
Topcon_TRAIN054_056.tiff,0.9895691275596619,0.6625960469245911,247390,6562,492673,15231,243767,5046,0.6625960469245911
Topcon_TRAIN054_057.tiff,0.9895477294921875,0.5584127902984619,250297,3655,496160,11744,245487,3279,0.5584127902984619
Topcon_TRAIN054_058.tiff,0.9892168045043945,0.6085487604141235,248319,5633,494288,13616,244479,4143,0.6085487604141235
