slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D5S3_001_predicted,0.9982715249061584,0.0,0.5450847744941711,1.0,253550,0,402,0,506225,204,1475,0,252675,0,402,0,0.47885647416114807
Spectralis_D5S3_002_predicted,0.9966573715209961,1.0,0.6503978967666626,0.0,253339,0,613,0,504990,0,1885,1029,251651,0,613,0,0.42072752118110657
Spectralis_D5S3_003_predicted,0.9943460822105408,0.0,0.34493425488471985,0.0,253729,0,223,0,504605,236,1293,1770,250876,0,223,0,0.13519248366355896
Spectralis_D5S3_004_predicted,0.9966966509819031,1.0,0.5053598880767822,0.0,253454,0,498,0,505245,0,1959,700,251788,0,495,0,0.37232041358947754
Spectralis_D5S3_005_predicted,0.9934593439102173,0.0,0.5023183822631836,0.0,253302,0,650,0,503312,77,2588,1927,250010,0,650,0,0.28310105204582214
Spectralis_D5S3_006_predicted,0.993100643157959,1.0,0.642948567867279,0.0,252696,0,1256,0,501929,0,3907,2068,249233,0,1256,0,0.4204184114933014
Spectralis_D5S3_007_predicted,0.9941954612731934,1.0,0.7950625419616699,0.0,251595,0,2357,0,500298,0,5914,1692,248697,0,2351,0,0.6181961894035339
Spectralis_D5S3_008_predicted,0.9920955300331116,0.0,0.802963376045227,0.0,251114,0,2838,0,498325,21,7019,2539,247193,0,2818,0,0.5887879729270935
Spectralis_D5S3_009_predicted,0.9900208115577698,1.0,0.6752660274505615,0.0,251836,0,2116,0,498739,0,6202,2963,246881,0,2094,0,0.45695582032203674
Spectralis_D5S3_010_predicted,0.9867267608642578,1.0,0.5374699831008911,0.0,252720,0,1232,0,498823,0,4577,4504,246101,0,1230,0,0.2708952724933624
Spectralis_D5S3_011_predicted,0.9884402751922607,1.0,0.644385576248169,0.0,252365,0,1587,0,498974,0,4907,4023,246603,0,1581,0,0.35408735275268555
Spectralis_D5S3_012_predicted,0.9865654706954956,0.0,0.6637230515480042,0.0,252063,0,1889,0,497449,6,5662,4787,245383,0,1879,0,0.3607843220233917
Spectralis_D5S3_013_predicted,0.9871746897697449,0.0,0.5167173147201538,0.0,253100,0,852,0,499794,30,3290,4790,246692,0,850,0,0.2096177488565445
Spectralis_D5S3_014_predicted,0.9842889904975891,0.0,0.17213115096092224,0.0,253847,0,105,0,499841,767,1220,6076,245994,0,105,0,0.026044895872473717
Spectralis_D5S3_015_predicted,0.9893584251403809,0.0,0.0,0.0,253952,0,0,0,502556,11,80,5257,248604,0,0,0,0.0
Spectralis_D5S3_016_predicted,0.9977068901062012,0.0,1.0,0.0,253952,0,0,0,506742,121,0,1041,252790,0,0,0,0.0
Spectralis_D5S3_017_predicted,0.9966931939125061,1.0,1.0,0.0,253952,0,0,0,506230,0,0,1674,252278,0,0,0,0.0
Spectralis_D5S3_018_predicted,0.9993557333946228,1.0,1.0,0.0,253952,0,0,0,507577,0,0,327,253625,0,0,0,0.0
Spectralis_D5S3_019_predicted,0.999446451663971,1.0,1.0,0.0,253952,0,0,0,507623,0,0,281,253671,0,0,0,0.0
